0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-80.0,-61.72108840942383,-57.77566909790039,-80.0,-48.857295989990234,-50.06937789916992,-80.0,-28.693172454833984,-36.363746643066406,-24.31886863708496,-16.386215209960938,-80.0,-13.444766998291016,-12.101938247680664,-80.0,-16.006546020507812,-19.85247230529785,-80.0,-18.723054885864258,-40.01905059814453,-22.028335571289062,-17.868183135986328,-80.0,-19.406635284423828,-20.48853302001953,-80.0,-9.301031112670898,-16.72026252746582,-21.174381256103516,-12.96768569946289,-80.0,-19.272357940673828,-17.798181533813477,-80.0,-20.439233779907227,-24.131568908691406,-80.0,-23.5477352142334,-41.801082611083984,-17.694942474365234,-13.373844146728516,-80.0,-15.921238899230957,-16.8734188079834,-80.0,-30.62681007385254,-37.80439376831055,-50.949459075927734,-42.455345153808594,-80.0,-29.749805450439453,-28.143613815307617,-80.0,-13.35528564453125,-16.89617347717285,-80.0,-11.620912551879883,-28.080759048461914,-30.7392578125,-26.254411697387695,-80.0,-23.18499755859375,-24.007890701293945,-80.0,-17.890810012817383,-24.83555030822754,-25.972936630249023,-17.17634391784668,-80.0,-25.241317749023438,-23.50237274169922,-80.0,-36.85227584838867,-40.24372482299805,-80.0,-49.3861198425293,-64.44538116455078,-44.34929275512695,-39.697723388671875,-80.0,-23.42447853088379,-24.118440628051758,-80.0,-19.413785934448242,-26.133678436279297,-38.519657135009766,-29.403505325317383,-80.0,-53.31449890136719,-51.44198989868164,-80.0,-46.88228988647461,-50.11632537841797,-80.0,-25.178909301757812,-39.35435485839844,-27.303157806396484,-22.48166275024414,-80.0,-22.755264282226562,-23.32060432434082,-80.0,-23.005552291870117,-29.50790786743164,-32.27630615234375,-22.821096420288086,-80.0,-24.99592399597168,-22.988981246948242,-80.0,-15.842419624328613,-18.94055938720703,-80.0,-19.29618263244629,-32.64647674560547,-59.084815979003906,-54.40235900878906,-80.0,-62.256710052490234,-62.66795349121094,-80.0,-34.51105499267578,-40.786373138427734,-37.764278411865234,-27.947505950927734,-80.0,-35.98530960083008,-34.892913818359375
-80.0,-66.02313995361328,-62.11992645263672,-80.0,-53.38039779663086,-54.59249496459961,-80.0,-32.533348083496094,-40.20391845703125,-26.936796188354492,-19.00413703918457,-80.0,-15.064677238464355,-13.721847534179688,-80.0,-17.46811866760254,-21.314044952392578,-80.0,-21.585525512695312,-42.88151168823242,-25.03520393371582,-20.875051498413086,-80.0,-19.716766357421875,-20.798660278320312,-80.0,-9.111249923706055,-16.530481338500977,-20.466440200805664,-12.259744644165039,-80.0,-23.96235466003418,-22.488178253173828,-80.0,-25.061063766479492,-28.75339698791504,-80.0,-20.81951904296875,-39.07286834716797,-16.091495513916016,-11.770394325256348,-80.0,-14.996946334838867,-15.949129104614258,-80.0,-30.539241790771484,-37.71683120727539,-52.34035110473633,-43.84623336791992,-80.0,-37.07478713989258,-35.46859359741211,-80.0,-20.961868286132812,-24.50275993347168,-80.0,-19.27324104309082,-35.73308563232422,-32.32835006713867,-27.843509674072266,-80.0,-22.442230224609375,-23.26512336730957,-80.0,-21.365217208862305,-28.30994987487793,-29.92674446105957,-21.13015365600586,-80.0,-26.4180965423584,-24.679153442382812,-80.0,-36.71501922607422,-40.10647964477539,-80.0,-50.89562225341797,-65.98041534423828,-47.33696365356445,-42.68539047241211,-80.0,-22.509883880615234,-23.203847885131836,-80.0,-17.116342544555664,-23.836231231689453,-34.4373664855957,-25.321216583251953,-80.0,-52.35169219970703,-50.47918701171875,-80.0,-53.9671745300293,-57.18212890625,-80.0,-31.708438873291016,-45.883880615234375,-27.89812660217285,-23.07663345336914,-80.0,-22.971858978271484,-23.537200927734375,-80.0,-26.36916732788086,-32.87152099609375,-36.07293701171875,-26.61772346496582,-80.0,-31.749074935913086,-29.742130279541016,-80.0,-21.76639747619629,-24.86453628540039,-80.0,-24.735454559326172,-38.08574676513672,-58.84525680541992,-53.86427688598633,-80.0,-64.06771850585938,-64.47346496582031,-80.0,-38.620731353759766,-44.91225051879883,-40.68289566040039,-30.86612892150879,-80.0,-37.87965774536133,-36.78726577758789
-80.0,-64.89656066894531,-60.970149993896484,-80.0,-53.38833236694336,-54.600425720214844,-80.0,-34.15120315551758,-41.82177734375,-28.61656379699707,-20.683908462524414,-80.0,-16.995634078979492,-15.652804374694824,-80.0,-19.607925415039062,-23.453855514526367,-80.0,-18.11864471435547,-39.41463088989258,-21.409799575805664,-17.24964714050293,-80.0,-20.55954933166504,-21.64144515991211,-80.0,-10.18539810180664,-17.604629516601562,-21.542722702026367,-13.336029052734375,-80.0,-22.052106857299805,-20.577930450439453,-80.0,-23.096803665161133,-26.789138793945312,-80.0,-24.569412231445312,-42.822757720947266,-19.00644874572754,-14.685348510742188,-80.0,-16.91982650756836,-17.872011184692383,-80.0,-31.15983009338379,-38.3374137878418,-53.55000686645508,-45.05590057373047,-80.0,-36.2589111328125,-34.6527214050293,-80.0,-19.263675689697266,-22.804563522338867,-80.0,-17.153261184692383,-33.61310577392578,-31.145109176635742,-26.660266876220703,-80.0,-20.89940071105957,-21.722293853759766,-80.0,-19.496442794799805,-26.441179275512695,-28.567577362060547,-19.770984649658203,-80.0,-33.24253845214844,-31.50359535217285,-80.0,-44.35511779785156,-47.720115661621094,-80.0,-50.93385696411133,-65.91366577148438,-44.2981071472168,-39.64653396606445,-80.0,-19.977920532226562,-20.671886444091797,-80.0,-13.893914222717285,-20.61380386352539,-30.708410263061523,-21.592266082763672,-80.0,-50.18736267089844,-48.31486129760742,-80.0,-50.4123649597168,-53.65627670288086,-80.0,-28.01334571838379,-42.18878173828125,-27.30707359313965,-22.485580444335938,-80.0,-22.25087547302246,-22.81621742248535,-80.0,-29.015939712524414,-35.51829528808594,-38.57084655761719,-29.115631103515625,-80.0,-24.738876342773438,-22.731929779052734,-80.0,-14.54382038116455,-17.64196014404297,-80.0,-17.164216995239258,-30.514509201049805,-49.85021209716797,-44.85538101196289,-80.0,-58.55818557739258,-58.98753356933594,-80.0,-36.43833923339844,-42.729862213134766,-39.369022369384766,-29.55224609375,-80.0,-37.0137939453125,-35.92140197753906
-80.0,-65.52978515625,-61.593467712402344,-80.0,-53.19529342651367,-54.407386779785156,-80.0,-34.015377044677734,-41.685951232910156,-28.189167022705078,-20.25650978088379,-80.0,-16.827407836914062,-15.484579086303711,-80.0,-19.214387893676758,-23.060314178466797,-80.0,-18.528934478759766,-39.82492446899414,-21.98175621032715,-17.821605682373047,-80.0,-19.835716247558594,-20.917613983154297,-80.0,-9.681253433227539,-17.10048484802246,-21.228675842285156,-13.021982192993164,-80.0,-21.142873764038086,-19.668699264526367,-80.0,-22.1479434967041,-25.840280532836914,-80.0,-21.562049865722656,-39.7586669921875,-16.455705642700195,-12.134605407714844,-80.0,-14.786212921142578,-15.738397598266602,-80.0,-28.991540908813477,-36.16912841796875,-51.21502685546875,-42.720916748046875,-80.0,-34.79169464111328,-33.18550491333008,-80.0,-17.430662155151367,-20.971553802490234,-80.0,-15.123659133911133,-31.58350372314453,-30.250627517700195,-25.765785217285156,-80.0,-20.203588485717773,-21.02648162841797,-80.0,-16.17723846435547,-23.121971130371094,-25.330839157104492,-16.53424835205078,-80.0,-28.172452926635742,-26.43350601196289,-80.0,-39.07012176513672,-42.461578369140625,-80.0,-49.531829833984375,-64.63150787353516,-44.61091995239258,-39.959354400634766,-80.0,-19.110246658325195,-19.804210662841797,-80.0,-13.508101463317871,-20.22799301147461,-30.175539016723633,-21.059391021728516,-80.0,-49.301025390625,-47.42852020263672,-80.0,-48.59900665283203,-51.84292221069336,-80.0,-27.06505584716797,-41.24049758911133,-23.134794235229492,-18.31330108642578,-80.0,-18.03939437866211,-18.604734420776367,-80.0,-25.132291793823242,-31.6346435546875,-36.02947235107422,-26.574262619018555,-80.0,-30.21270751953125,-28.205764770507812,-80.0,-19.93975257873535,-23.037891387939453,-80.0,-22.44182014465332,-35.792110443115234,-53.09370803833008,-48.09886932373047,-80.0,-59.612709045410156,-60.0366325378418,-80.0,-34.586204528808594,-40.87771987915039,-37.090518951416016,-27.27374839782715,-80.0,-34.55410385131836,-33.46171569824219
-80.0,-67.12914276123047,-63.23089599609375,-80.0,-57.99294662475586,-59.20503616333008,-80.0,-42.66460037231445,-50.335174560546875,-28.50018310546875,-20.567529678344727,-80.0,-16.555028915405273,-15.212200164794922,-80.0,-19.076257705688477,-22.92218589782715,-80.0,-18.8173885345459,-40.11337661743164,-22.06338119506836,-17.903230667114258,-80.0,-19.569290161132812,-20.65118980407715,-80.0,-9.06699275970459,-16.486225128173828,-20.644182205200195,-12.437488555908203,-80.0,-22.41425895690918,-20.94008445739746,-80.0,-23.534915924072266,-27.227251052856445,-80.0,-25.41020393371582,-43.663551330566406,-19.437240600585938,-15.11613941192627,-80.0,-17.634798049926758,-18.586978912353516,-80.0,-32.20632553100586,-39.383907318115234,-53.86532211303711,-45.376068115234375,-80.0,-35.18709945678711,-33.58090591430664,-80.0,-18.031888961791992,-21.572778701782227,-80.0,-15.881853103637695,-32.341697692871094,-29.208724975585938,-24.72388458251953,-80.0,-19.034318923950195,-19.857210159301758,-80.0,-18.72333335876465,-25.668073654174805,-27.971641540527344,-19.175048828125,-80.0,-30.358964920043945,-28.62002182006836,-80.0,-41.1808967590332,-44.572357177734375,-80.0,-52.17900848388672,-67.205078125,-47.13127899169922,-42.479705810546875,-80.0,-23.116748809814453,-23.81071662902832,-80.0,-17.60350227355957,-24.32339096069336,-34.231651306152344,-25.11550521850586,-80.0,-53.05104446411133,-51.17853927612305,-80.0,-50.45922088623047,-53.70314025878906,-80.0,-27.913551330566406,-42.088985443115234,-23.86894416809082,-19.047449111938477,-80.0,-18.974111557006836,-19.53944969177246,-80.0,-25.587671279907227,-32.09002685546875,-35.75733947753906,-26.302122116088867,-80.0,-31.908275604248047,-29.901330947875977,-80.0,-21.99525260925293,-25.09339141845703,-80.0,-24.68779754638672,-38.0380859375,-57.625999450683594,-52.6439094543457,-80.0,-61.55923080444336,-61.96611404418945,-80.0,-36.62126159667969,-42.91278076171875,-38.48162841796875,-28.66485595703125,-80.0,-35.90449523925781,-34.812110900878906
-80.0,-65.31658935546875,-61.43828582763672,-80.0,-56.55323791503906,-57.755863189697266,-80.0,-35.197940826416016,-42.86851119995117,-28.666309356689453,-20.733654022216797,-80.0,-17.194847106933594,-15.85201644897461,-80.0,-19.58794403076172,-23.43387222290039,-80.0,-21.162837982177734,-42.45882797241211,-24.392532348632812,-20.232379913330078,-80.0,-21.205337524414062,-22.287235260009766,-80.0,-11.061546325683594,-18.480777740478516,-22.166297912597656,-13.959602355957031,-80.0,-23.348312377929688,-21.87413787841797,-80.0,-24.09227180480957,-27.78460693359375,-80.0,-21.68151092529297,-39.93485641479492,-16.842838287353516,-12.521737098693848,-80.0,-15.933839797973633,-16.886022567749023,-80.0,-31.221126556396484,-38.39871597290039,-52.65840148925781,-44.18238067626953,-80.0,-37.054588317871094,-35.448394775390625,-80.0,-19.32921600341797,-22.870105743408203,-80.0,-16.678024291992188,-33.13787078857422,-32.11461639404297,-27.629776000976562,-80.0,-22.354387283325195,-23.17728042602539,-80.0,-18.76119613647461,-25.7059326171875,-27.565383911132812,-18.768795013427734,-80.0,-31.352697372436523,-29.613752365112305,-80.0,-42.541404724121094,-45.93286895751953,-80.0,-53.300018310546875,-68.2899398803711,-48.8087272644043,-44.15715789794922,-80.0,-23.402498245239258,-24.09646224975586,-80.0,-17.32547950744629,-24.045368194580078,-33.5621337890625,-24.44598388671875,-80.0,-53.60637283325195,-51.73386764526367,-80.0,-53.995731353759766,-57.21430206298828,-80.0,-31.225357055664062,-45.40079879760742,-25.9012393951416,-21.079748153686523,-80.0,-20.099742889404297,-20.665082931518555,-80.0,-26.33235740661621,-32.83470916748047,-36.80707550048828,-27.35186004638672,-80.0,-31.619489669799805,-29.612545013427734,-80.0,-20.14318084716797,-23.241321563720703,-80.0,-21.804649353027344,-35.154937744140625,-49.162025451660156,-44.16719436645508,-80.0,-58.68519973754883,-59.12045669555664,-80.0,-37.71976089477539,-44.01127624511719,-40.263004302978516,-30.44623374938965,-80.0,-38.33461380004883,-37.24222183227539
-80.0,-65.06507110595703,-61.13749694824219,-80.0,-54.645286560058594,-55.85737609863281,-80.0,-40.094154357910156,-47.76472854614258,-29.904184341430664,-21.971527099609375,-80.0,-18.894790649414062,-17.55196189880371,-80.0,-21.922677993774414,-25.76860809326172,-80.0,-25.488094329833984,-46.78408432006836,-29.48430824279785,-25.32415771484375,-80.0,-17.423646926879883,-18.505544662475586,-80.0,-7.85658597946167,-15.275816917419434,-20.115068435668945,-11.90837574005127,-80.0,-25.282363891601562,-23.808195114135742,-80.0,-18.86963653564453,-22.56197166442871,-80.0,-19.41461181640625,-37.6679573059082,-16.54766273498535,-12.2265625,-80.0,-16.56825828552246,-17.52044105529785,-80.0,-37.1664924621582,-44.344085693359375,-54.58112335205078,-46.08701705932617,-80.0,-33.08146286010742,-31.475271224975586,-80.0,-18.523099899291992,-22.063983917236328,-80.0,-17.566669464111328,-34.02651596069336,-35.165977478027344,-30.681133270263672,-80.0,-27.01206398010254,-27.8349609375,-80.0,-31.390146255493164,-38.33488082885742,-30.10874366760254,-21.312152862548828,-80.0,-21.7664737701416,-20.027530670166016,-80.0,-28.451847076416016,-31.843305587768555,-80.0,-45.891326904296875,-61.05543899536133,-37.2802734375,-32.63198471069336,-80.0,-18.729894638061523,-19.423858642578125,-80.0,-15.436084747314453,-22.155973434448242,-34.314117431640625,-25.197965621948242,-80.0,-48.79081726074219,-46.91831588745117,-80.0,-36.402442932128906,-39.64635467529297,-80.0,-19.818449020385742,-33.99388885498047,-25.04096221923828,-20.219470977783203,-80.0,-34.22603225708008,-34.79137420654297,-80.0,-25.945642471313477,-32.447994232177734,-33.40491485595703,-23.9497013092041,-80.0,-30.985992431640625,-28.979047775268555,-80.0,-24.574111938476562,-27.672252655029297,-80.0,-29.43535614013672,-42.785640716552734,-61.28628921508789,-56.29145812988281,-80.0,-61.265289306640625,-61.698123931884766,-80.0,-36.801475524902344,-43.09299087524414,-41.86516571044922,-32.04840087890625,-80.0,-42.93614959716797,-41.8437614440918
-80.0,-64.44520568847656,-60.540077209472656,-80.0,-56.46041488647461,-57.67250061035156,-80.0,-38.71930694580078,-46.381065368652344,-27.84449005126953,-19.911834716796875,-80.0,-17.065738677978516,-15.722908020019531,-80.0,-19.927234649658203,-23.77316665649414,-80.0,-23.5871524810791,-44.883140563964844,-27.365081787109375,-23.204933166503906,-80.0,-17.771282196044922,-18.853179931640625,-80.0,-8.42224407196045,-15.841476440429688,-20.74709701538086,-12.540401458740234,-80.0,-25.150033950805664,-23.675857543945312,-80.0,-18.614652633666992,-22.306989669799805,-80.0,-21.88408660888672,-40.13743209838867,-19.57737159729004,-15.256271362304688,-80.0,-19.993080139160156,-20.945266723632812,-80.0,-40.19736862182617,-47.37495040893555,-54.778045654296875,-46.29670715332031,-80.0,-33.06348419189453,-31.457290649414062,-80.0,-17.495637893676758,-21.03652572631836,-80.0,-15.940305709838867,-32.400150299072266,-35.090240478515625,-30.60540199279785,-80.0,-28.888669967651367,-29.711563110351562,-80.0,-33.39567565917969,-40.34040451049805,-28.571969985961914,-19.77537727355957,-80.0,-20.207427978515625,-18.468481063842773,-80.0,-27.008581161499023,-30.400041580200195,-80.0,-47.26909255981445,-62.352176666259766,-41.28557205200195,-36.63400650024414,-80.0,-20.706512451171875,-21.400476455688477,-80.0,-16.28148078918457,-23.00136947631836,-34.23734664916992,-25.121191024780273,-80.0,-50.395591735839844,-48.5230827331543,-80.0,-41.36865997314453,-44.612579345703125,-80.0,-25.390295028686523,-39.565738677978516,-30.82566261291504,-26.004173278808594,-80.0,-40.180870056152344,-40.74620819091797,-80.0,-30.72052574157715,-37.22288513183594,-38.7259521484375,-29.270742416381836,-80.0,-24.110286712646484,-22.103342056274414,-80.0,-15.53708267211914,-18.635221481323242,-80.0,-19.316041946411133,-32.66633605957031,-62.77849197387695,-58.11631774902344,-80.0,-61.331565856933594,-61.74938201904297,-80.0,-38.861839294433594,-45.098880767822266,-43.95504379272461,-34.138275146484375,-80.0,-45.16571044921875,-44.07332229614258
-80.0,-64.47561645507812,-60.570838928222656,-80.0,-54.5290641784668,-55.74114990234375,-80.0,-39.74876022338867,-47.41933059692383,-28.085237503051758,-20.1525821685791,-80.0,-16.84537124633789,-15.502538681030273,-80.0,-19.75651741027832,-23.602445602416992,-80.0,-23.457895278930664,-44.75389099121094,-27.489957809448242,-23.32980728149414,-80.0,-18.968576431274414,-20.050474166870117,-80.0,-9.635871887207031,-17.05510139465332,-22.066747665405273,-13.860054016113281,-80.0,-23.007722854614258,-21.533546447753906,-80.0,-16.269330978393555,-19.961666107177734,-80.0,-20.15958023071289,-38.412925720214844,-18.322345733642578,-14.001243591308594,-80.0,-18.8044376373291,-19.75661849975586,-80.0,-38.361053466796875,-45.53864288330078,-52.69404220581055,-44.19993209838867,-80.0,-31.10147476196289,-29.495285034179688,-80.0,-14.846263885498047,-18.38715362548828,-80.0,-13.185967445373535,-29.64581298828125,-32.4807243347168,-27.995882034301758,-80.0,-28.635915756225586,-29.458810806274414,-80.0,-32.45941162109375,-39.40414810180664,-26.18583106994629,-17.389238357543945,-80.0,-17.70160675048828,-15.962661743164062,-80.0,-24.303768157958984,-27.695226669311523,-80.0,-45.32643127441406,-60.4859619140625,-41.7856330871582,-37.13405990600586,-80.0,-20.89707374572754,-21.59103775024414,-80.0,-16.058252334594727,-22.77814292907715,-33.75808334350586,-24.64193344116211,-80.0,-50.26700210571289,-48.39449691772461,-80.0,-42.41336441040039,-45.65728759765625,-80.0,-26.54117774963379,-40.716617584228516,-32.16242218017578,-27.34093475341797,-80.0,-40.88822555541992,-41.45356750488281,-80.0,-23.964555740356445,-30.46691131591797,-30.948564529418945,-21.49335289001465,-80.0,-20.769676208496094,-18.76272964477539,-80.0,-12.09532642364502,-15.19346809387207,-80.0,-15.91285514831543,-29.263147354125977,-59.2508430480957,-54.57152557373047,-80.0,-59.60564041137695,-60.027408599853516,-80.0,-35.39085006713867,-41.6823616027832,-40.49053192138672,-30.67375946044922,-80.0,-41.33042907714844,-40.238040924072266
-80.0,-65.50902557373047,-61.70742416381836,-80.0,-55.45571517944336,-56.66246795654297,-80.0,-34.65163040161133,-42.32220458984375,-28.413671493530273,-20.481014251708984,-80.0,-17.606754302978516,-16.263925552368164,-80.0,-20.61681365966797,-24.462743759155273,-80.0,-22.97233772277832,-44.26832580566406,-26.94974708557129,-22.789596557617188,-80.0,-19.299095153808594,-20.380992889404297,-80.0,-9.977956771850586,-17.397188186645508,-22.241008758544922,-14.03431510925293,-80.0,-25.547842025756836,-24.073667526245117,-80.0,-19.351680755615234,-23.04401397705078,-80.0,-21.832294464111328,-40.085636138916016,-19.257259368896484,-14.93616008758545,-80.0,-19.512603759765625,-20.46478843688965,-80.0,-39.90689468383789,-47.0844841003418,-55.63130187988281,-47.1680793762207,-80.0,-33.761695861816406,-32.15550231933594,-80.0,-18.924924850463867,-22.465816497802734,-80.0,-17.55121612548828,-34.01105880737305,-34.85436248779297,-30.369524002075195,-80.0,-27.491008758544922,-28.313901901245117,-80.0,-31.88142204284668,-38.82615280151367,-28.417030334472656,-19.620439529418945,-80.0,-19.94769859313965,-18.208751678466797,-80.0,-26.370948791503906,-29.762409210205078,-80.0,-45.549842834472656,-60.72746658325195,-37.427669525146484,-32.776100158691406,-80.0,-20.280744552612305,-20.974706649780273,-80.0,-16.191802978515625,-22.91168975830078,-33.92036819458008,-24.80422019958496,-80.0,-49.133094787597656,-47.26059341430664,-80.0,-38.362648010253906,-41.60655975341797,-80.0,-22.235694885253906,-36.411136627197266,-27.52962303161621,-22.708131790161133,-80.0,-36.72056579589844,-37.2859001159668,-80.0,-24.495460510253906,-30.997814178466797,-31.818838119506836,-22.363622665405273,-80.0,-24.951099395751953,-22.944154739379883,-80.0,-16.673954010009766,-19.7720947265625,-80.0,-20.587678909301758,-33.93796920776367,-62.68326187133789,-58.269325256347656,-80.0,-64.09089660644531,-64.49478912353516,-80.0,-39.33298873901367,-45.624507904052734,-44.10626220703125,-34.28948974609375,-80.0,-44.87746810913086,-43.78508758544922
